Id,RecordTime,Value,ReasonDesc,StateDesc,QualityDesc
389655,9/1/2017 1:59:59 PM,57208.98046875,Timed Report,High High,Good
389655,9/2/2017 1:59:59 PM,48440.75,Timed Report,High High,Good
389655,9/3/2017 1:59:59 PM,49472.6015625,Timed Report,High High,Good
389655,9/4/2017 1:59:59 PM,58262.23828125,Timed Report,High High,Good
389655,9/5/2017 1:59:59 PM,49801.05859375,Timed Report,High High,Good
389655,9/6/2017 1:59:59 PM,5414.830078125,Timed Report,High High,Good
389655,9/7/2017 1:59:59 PM,0,Timed Report,High High,Good
389655,9/8/2017 1:59:59 PM,0,Timed Report,High High,Good
389655,9/9/2017 1:59:59 PM,19504.6796875,Timed Report,High High,Good
389655,9/10/2017 1:59:59 PM,58513.30078125,Timed Report,High High,Good
389655,9/11/2017 1:59:59 PM,49388.46875,Timed Report,High High,Good
389655,9/12/2017 1:59:59 PM,48605.609375,Timed Report,High High,Good
389655,9/13/2017 1:59:59 PM,54139.46875,Timed Report,High High,Good
389655,9/14/2017 1:59:59 PM,51695.69921875,Timed Report,High High,Good
389655,9/15/2017 1:59:59 PM,48410.5,Timed Report,High High,Good
389655,9/16/2017 1:59:59 PM,55422.37890625,Timed Report,High High,Good
389655,9/17/2017 1:59:59 PM,54107.890625,Timed Report,High High,Good
389655,9/18/2017 1:59:59 PM,48552.30859375,Timed Report,High High,Good
389655,9/19/2017 1:59:59 PM,52768.7890625,Timed Report,High High,Good
389655,9/20/2017 1:59:59 PM,56474.2109375,Timed Report,High High,Good
389655,9/21/2017 1:59:59 PM,48545.73828125,Timed Report,High High,Good
389655,9/22/2017 1:59:59 PM,48265.94921875,Timed Report,High High,Good
389655,9/23/2017 1:59:59 PM,49187.671875,Timed Report,High High,Good
389655,9/24/2017 1:59:59 PM,48882.390625,Timed Report,High High,Good
389655,9/25/2017 1:59:59 PM,46916.26953125,Timed Report,High High,Good
389655,9/26/2017 1:59:59 PM,55016.05078125,Timed Report,High High,Good
389655,9/27/2017 1:59:59 PM,49479.51171875,Timed Report,High High,Good
389655,9/28/2017 1:59:59 PM,48401.69140625,Timed Report,High High,Good
389655,9/29/2017 1:59:59 PM,54870.94140625,Timed Report,High High,Good
389655,9/30/2017 1:59:59 PM,52562.75,Timed Report,High High,Good
389655,10/1/2017 1:59:59 PM,48491.87890625,Timed Report,High High,Good
389655,10/2/2017 1:59:59 PM,52504.41015625,Timed Report,High High,Good
389655,10/3/2017 1:59:59 PM,50109.609375,Timed Report,High High,Good
389655,10/4/2017 1:59:59 PM,48521.01171875,Timed Report,High High,Good
389655,10/5/2017 1:59:59 PM,50943.109375,Timed Report,High High,Good
389655,10/6/2017 1:59:59 PM,58354.8984375,Timed Report,High High,Good
389655,10/7/2017 1:59:59 PM,48532.05859375,Timed Report,High High,Good
389655,10/8/2017 1:59:59 PM,45767.9609375,Timed Report,High High,Good
389655,10/9/2017 1:59:59 PM,51084.76953125,Timed Report,High High,Good
389655,10/10/2017 1:59:59 PM,50949.75,Timed Report,High High,Good
389655,10/11/2017 1:59:59 PM,48553.26171875,Timed Report,High High,Good
389655,10/12/2017 1:59:59 PM,55380.16015625,Timed Report,High High,Good
389655,10/13/2017 1:59:59 PM,53492.3984375,Timed Report,High High,Good
389655,10/14/2017 1:59:59 PM,48425.21875,Timed Report,High High,Good
389655,10/15/2017 1:59:59 PM,51718.12109375,Timed Report,High High,Good
389655,10/16/2017 1:59:59 PM,55842.23046875,Timed Report,High High,Good
389655,10/17/2017 1:59:59 PM,44907.69921875,Timed Report,High High,Good
389655,10/18/2017 1:59:59 PM,48189.76953125,Timed Report,High High,Good
389655,10/19/2017 1:59:59 PM,58246.390625,Timed Report,High High,Good
389655,10/20/2017 1:59:59 PM,46797.640625,Timed Report,High High,Good
389655,10/21/2017 1:59:59 PM,38904.6015625,Timed Report,High High,Good
389655,10/22/2017 1:59:59 PM,56738.1796875,Timed Report,High High,Good
389655,10/23/2017 1:59:59 PM,50747.421875,Timed Report,High High,Good
389655,10/24/2017 1:59:59 PM,48378.078125,Timed Report,High High,Good
389655,10/25/2017 1:59:59 PM,56404.78125,Timed Report,High High,Good
389655,10/26/2017 1:59:59 PM,49202.6484375,Timed Report,High High,Good
389655,10/27/2017 1:59:59 PM,48148.26953125,Timed Report,High High,Good
389655,10/28/2017 1:59:59 PM,53431.1484375,Timed Report,High High,Good
389655,10/29/2017 1:59:59 PM,55541.62109375,Timed Report,High High,Good
389655,10/30/2017 1:59:59 PM,48506.76953125,Timed Report,High High,Good
389655,10/31/2017 1:59:59 PM,51657.109375,Timed Report,High High,Good
