Id,RecordTime,Value,ReasonDesc,StateDesc,QualityDesc
390182,9/1/2017 6:28:13 PM,8,Current Data,Good,Good
390182,9/1/2017 6:31:13 PM,6,Current Data,Good,Good
390182,9/1/2017 6:32:13 PM,5,Current Data,Good,Good
390182,9/1/2017 6:33:13 PM,0,Current Data,Good,Good
390182,9/1/2017 6:57:43 PM,4,Current Data,Good,Good
390182,9/1/2017 6:58:13 PM,8,Current Data,Good,Good
390182,9/1/2017 7:01:13 PM,5,Current Data,Good,Good
390182,9/1/2017 7:03:43 PM,0,Current Data,Good,Good
390182,9/1/2017 7:27:43 PM,4,Current Data,Good,Good
390182,9/1/2017 7:28:13 PM,8,Current Data,Good,Good
390182,9/1/2017 7:30:43 PM,5,Current Data,Good,Good
390182,9/1/2017 7:32:13 PM,3,Current Data,Good,Good
390182,9/1/2017 7:32:43 PM,0,Current Data,Good,Good
390182,9/1/2017 7:57:43 PM,4,Current Data,Good,Good
390182,9/1/2017 7:58:13 PM,2,Current Data,Good,Good
390182,9/1/2017 8:01:13 PM,0,Current Data,Good,Good
390182,9/1/2017 8:03:13 PM,7,Current Data,Good,Good
390182,9/1/2017 8:03:43 PM,6,Current Data,Good,Good
390182,9/1/2017 8:04:13 PM,7,Current Data,Good,Good
390182,9/1/2017 8:12:13 PM,4,Current Data,Good,Good
390182,9/1/2017 8:12:43 PM,0,Current Data,Good,Good
390182,9/1/2017 8:57:43 PM,3,Current Data,Good,Good
390182,9/1/2017 8:58:13 PM,2,Current Data,Good,Good
390182,9/1/2017 9:00:43 PM,0,Current Data,Good,Good
390182,9/1/2017 9:27:43 PM,4,Current Data,Good,Good
390182,9/1/2017 9:28:13 PM,2,Current Data,Good,Good
390182,9/1/2017 9:31:13 PM,0,Current Data,Good,Good
390182,9/1/2017 9:57:43 PM,4,Current Data,Good,Good
390182,9/1/2017 9:58:13 PM,8,Current Data,Good,Good
390182,9/1/2017 10:00:43 PM,5,Current Data,Good,Good
390182,9/1/2017 10:02:43 PM,0,Current Data,Good,Good
390182,9/1/2017 10:27:43 PM,4,Current Data,Good,Good
390182,9/1/2017 10:28:13 PM,8,Current Data,Good,Good
390182,9/1/2017 10:31:13 PM,5,Current Data,Good,Good
390182,9/1/2017 10:32:43 PM,0,Current Data,Good,Good
390182,9/1/2017 10:57:43 PM,4,Current Data,Good,Good
390182,9/1/2017 10:58:13 PM,8,Current Data,Good,Good
390182,9/1/2017 11:00:43 PM,5,Current Data,Good,Good
390182,9/1/2017 11:02:43 PM,0,Current Data,Good,Good
390182,9/1/2017 11:27:43 PM,4,Current Data,Good,Good
390182,9/1/2017 11:28:13 PM,8,Current Data,Good,Good
390182,9/1/2017 11:30:43 PM,5,Current Data,Good,Good
390182,9/1/2017 11:32:43 PM,0,Current Data,Good,Good
390182,9/1/2017 11:57:43 PM,4,Current Data,Good,Good
390182,9/1/2017 11:58:13 PM,8,Current Data,Good,Good
390182,9/2/2017 12:00:43 AM,5,Current Data,Good,Good
390182,9/2/2017 12:03:43 AM,0,Current Data,Good,Good
390182,9/2/2017 12:27:43 AM,4,Current Data,Good,Good
390182,9/2/2017 12:28:13 AM,8,Current Data,Good,Good
390182,9/2/2017 12:31:13 AM,5,Current Data,Good,Good
390182,9/2/2017 12:32:43 AM,0,Current Data,Good,Good
390182,9/2/2017 12:57:43 AM,3,Current Data,Good,Good
390182,9/2/2017 12:58:13 AM,0,Current Data,Good,Good
390182,9/2/2017 1:27:43 AM,4,Current Data,Good,Good
390182,9/2/2017 1:28:13 AM,8,Current Data,Good,Good
390182,9/2/2017 1:30:43 AM,5,Current Data,Good,Good
390182,9/2/2017 1:32:13 AM,0,Current Data,Good,Good
390182,9/2/2017 1:57:43 AM,4,Current Data,Good,Good
390182,9/2/2017 1:58:13 AM,8,Current Data,Good,Good
390182,9/2/2017 2:00:43 AM,5,Current Data,Good,Good
390182,9/2/2017 2:03:13 AM,0,Current Data,Good,Good
