Id,RecordTime,Value,ReasonDesc,StateDesc,QualityDesc
389653,9/1/2017 1:59:59 PM,1063.1806640625,Timed Report,High High,Good
389653,9/2/2017 1:59:59 PM,1039.264892578125,Timed Report,High High,Good
389653,9/3/2017 1:59:59 PM,979.3187255859375,Timed Report,High High,Good
389653,9/4/2017 1:59:59 PM,1031.2994384765625,Timed Report,High High,Good
389653,9/5/2017 1:59:59 PM,1024.6907958984375,Timed Report,High High,Good
389653,9/6/2017 1:59:59 PM,889.7208251953125,Timed Report,High High,Good
389653,9/7/2017 1:59:59 PM,5186.3486328125,Timed Report,High High,Good
389653,9/8/2017 1:59:59 PM,5756.697265625,Timed Report,High High,Good
389653,9/9/2017 1:59:59 PM,808.3924560546875,Timed Report,High High,Good
389653,9/10/2017 1:59:59 PM,1079.7135009765625,Timed Report,High High,Good
389653,9/11/2017 1:59:59 PM,1109.089599609375,Timed Report,High High,Good
389653,9/12/2017 1:59:59 PM,1119.238037109375,Timed Report,High High,Good
389653,9/13/2017 1:59:59 PM,1112.7315673828125,Timed Report,High High,Good
389653,9/14/2017 1:59:59 PM,1113.7781982421875,Timed Report,High High,Good
389653,9/15/2017 1:59:59 PM,1047.129638671875,Timed Report,High High,Good
389653,9/16/2017 1:59:59 PM,1085.019287109375,Timed Report,High High,Good
389653,9/17/2017 1:59:59 PM,1098.3380126953125,Timed Report,High High,Good
389653,9/18/2017 1:59:59 PM,1024.71875,Timed Report,High High,Good
389653,9/19/2017 1:59:59 PM,1039.472412109375,Timed Report,High High,Good
389653,9/20/2017 1:59:59 PM,1006.0703125,Timed Report,High High,Good
389653,9/21/2017 1:59:59 PM,986.8839111328125,Timed Report,High High,Good
389653,9/22/2017 1:59:59 PM,1004.6316528320313,Timed Report,High High,Good
389653,9/23/2017 1:59:59 PM,1028.1400146484375,Timed Report,High High,Good
389653,9/24/2017 1:59:59 PM,1056.2059326171875,Timed Report,High High,Good
389653,9/25/2017 1:59:59 PM,1044.8897705078125,Timed Report,High High,Good
389653,9/26/2017 1:59:59 PM,1070.2349853515625,Timed Report,High High,Good
389653,9/27/2017 1:59:59 PM,1017.7811889648438,Timed Report,High High,Good
389653,9/28/2017 1:59:59 PM,1057.1917724609375,Timed Report,High High,Good
389653,9/29/2017 1:59:59 PM,1051.6788330078125,Timed Report,High High,Good
389653,9/30/2017 1:59:59 PM,1053.9571533203125,Timed Report,High High,Good
389653,10/1/2017 1:59:59 PM,1037.8201904296875,Timed Report,High High,Good
389653,10/2/2017 1:59:59 PM,1016.9019775390625,Timed Report,High High,Good
389653,10/3/2017 1:59:59 PM,1009.1962280273438,Timed Report,High High,Good
389653,10/4/2017 1:59:59 PM,1009.890869140625,Timed Report,High High,Good
389653,10/5/2017 1:59:59 PM,1021.4908447265625,Timed Report,High High,Good
389653,10/6/2017 1:59:59 PM,1048.6375732421875,Timed Report,High High,Good
389653,10/7/2017 1:59:59 PM,1046.3392333984375,Timed Report,High High,Good
389653,10/8/2017 1:59:59 PM,1017.291748046875,Timed Report,High High,Good
