Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
6,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.6,not available,not available
7,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.9,not available,not available
8,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.5,not available,not available
9,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.5,not available,not available
10,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.2,not available,not available
11,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.6,not available,not available
12,2009,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.5,not available,not available
1,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.9,not available,not available
2,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.2,not available,not available
3,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.8,not available,not available
4,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.9,not available,not available
5,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.1,not available,not available
6,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,37.3,not available,not available
7,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.8,not available,not available
8,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.2,not available,not available
9,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,37,not available,not available
10,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.4,not available,not available
11,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.2,not available,not available
12,2010,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.3,not available,not available
1,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.5,not available,not available
2,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.5,not available,not available
3,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.6,not available,not available
4,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,26.5,not available,not available
5,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.6,not available,not available
6,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.7,not available,not available
7,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.6,not available,not available
8,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.2,not available,not available
9,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.1,not available,not available
10,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.6,not available,not available
11,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.4,not available,not available
12,2011,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.5,not available,not available
1,2012,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.7,not available,not available
