Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Capacity (1000 m3/d),Reason for variance from nameplate capacity
4,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.793232167,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.011218735,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.761243811,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.251534822,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.756102149,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.686612094,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.926872671,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.454963304,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2016,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.505046866,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.2,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.23,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.16,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.3,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.33,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,0.35,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,Domestic Light,0.3,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,Domestic Light,0.3,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,Domestic Light,0.1,2.526315789,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,Domestic Light,0.1,2.5,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,Domestic Light,0.1,2.5,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2017,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,Domestic Light,0.1,2.5,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,South,IntraCanada,domestic light,0.1,2.6,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,South,IntraCanada,domestic light,0.1,2.6,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,South,IntraCanada,domestic light,0.1,2.6,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,domestic light,0.0,2.6,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,domestic light,0.1,2.6,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,South,Intracanada,domestic light,0.1,2.6,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
