Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Capacity (1000 m3/d),Reason for variance from nameplate capacity
12,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.967393596,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.860966194,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.981539525,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.991908334,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.027411449,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.074821467,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.00426091,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.92323092,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.863147864,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.916329614,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.606462799,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.785861675,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.396908214,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.167709284,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.297730162,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
