COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Location 1
"Lee Oil Company, Inc.",Steuben,West Union,31101617170000,Mckinley U9,UL,OD,-77.70799,42.08912,NO,8,"{'longitude': '-77.70799', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.08912'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616740000,Rex 10,UL,NL,-77.6983,42.09321,NO,8,"{'longitude': '-77.6983', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09321'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612590000,Rex 104,UM,NL,,,NO,8,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612510000,Rex 105,UM,NL,-77.69948,42.0909,NO,8,"{'longitude': '-77.69948', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0909'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616750000,Rex 11,UL,NL,-77.69902,42.0937,NO,8,"{'longitude': '-77.69902', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0937'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612620000,Rex 12,UM,OD,-77.69774,42.09381,NO,8,"{'longitude': '-77.69774', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09381'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616720000,Rex 14,UL,OD,-77.69895,42.09583,NO,8,"{'longitude': '-77.69895', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09583'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612380000,Rex 18,UL,NL,-77.69522,42.0934,NO,8,"{'longitude': '-77.69522', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0934'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616760000,Rex 19,UL,NL,-77.69526,42.09439,NO,8,"{'longitude': '-77.69526', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09439'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612660000,Rex 2,UL,NL,-77.69965,42.09212,NO,8,"{'longitude': '-77.69965', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09212'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616770000,Rex 20,UL,NL,-77.69518,42.0955,NO,8,"{'longitude': '-77.69518', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0955'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612640000,Rex 209,UM,NL,-77.69896,42.09152,NO,8,"{'longitude': '-77.69896', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09152'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616780000,Rex 21,UL,NL,-77.69615,42.09515,NO,8,"{'longitude': '-77.69615', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09515'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612650000,Rex 218,UL,NL,-77.69918,42.09204,NO,8,"{'longitude': '-77.69918', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09204'}"
