project,postalCodes,zipCodes
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3Z0,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 5N1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 5N1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3G1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 5N1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 5N1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 5N1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3G1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3G1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4L8,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 7A9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E5N 3M1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E5J 2N6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 1E7,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2L 1E5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1G9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 3R1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2P 1J6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 1X7,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 1X7,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2H1Z5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 7G9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 3E9,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2L 1G8,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4R5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4W1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4W1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2J 3W1,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 1Z5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2K 1Z5,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2M 4Z6,NA
Enbridge_Bakken_Pipeline_Expansion_Project,E2J 2T3,NA
