project,postalCodes,zipCodes
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T2P 0X3,03492-5503
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T2P 0X8,NA
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T6B 2X3,NA
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T2P 0X3,NA
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T2P 5J2,NA
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T2P 5C5,NA
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,T8V 6J4,NA
