project,postalCodes,zipCodes
EnCana_Deep_Panuke_Pipeline,B0J 1T0,20000-2221
EnCana_Deep_Panuke_Pipeline,B3J 3N6,NA
EnCana_Deep_Panuke_Pipeline,T2P 0X8,NA
EnCana_Deep_Panuke_Pipeline,T2P 0X8,NA
EnCana_Deep_Panuke_Pipeline,T2P 3H2,NA
EnCana_Deep_Panuke_Pipeline,B3J 1P3,NA
