Geo Code,Geo Name,Line Number
"35060","Mississauga--Erin Mills",395474
"35061","Mississauga--Lakeshore",397721
"35062","Mississauga--Malton",399968
"35063","Mississauga--Streetsville",402215
"35064","Nepean",404462
"35065","Newmarket--Aurora",406709
"35066","Niagara Centre",408956
"35067","Niagara Falls",411203
"35068","Niagara West",413450
"35069","Nickel Belt",415697
"35070","Nipissing--Timiskaming",417944
"35071","Northumberland--Peterborough South",420191
"35072","Oakville",422438
"35073","Oakville North--Burlington",424685
"35074","Oshawa",426932
"35075","Ottawa Centre",429179
"35076","Orléans",431426
"35077","Ottawa South",433673
"35078","Ottawa--Vanier",435920
"35079","Ottawa West--Nepean",438167
"35080","Oxford",440414
"35081","Parkdale--High Park",442661
"35082","Parry Sound--Muskoka",444908
"35083","Perth--Wellington",447155
"35084","Peterborough--Kawartha",449402
"35085","Pickering--Uxbridge",451649
"35086","Renfrew--Nipissing--Pembroke",453896
"35087","Richmond Hill",456143
"35088","Carleton",458390
"35089","St. Catharines",460637
"35090","Toronto--St. Paul's",462884
"35091","Sarnia--Lambton",465131
"35092","Sault Ste. Marie",467378
"35093","Scarborough--Agincourt",469625
"35094","Scarborough Centre",471872
"35095","Scarborough--Guildwood",474119
"35096","Scarborough North",476366
"35097","Scarborough--Rouge Park",478613
"35098","Scarborough Southwest",480860
"35099","Simcoe--Grey",483107
"35100","Simcoe North",485354
"35101","Spadina--Fort York",487601
"35102","Stormont--Dundas--South Glengarry",489848
"35103","Sudbury",492095
"35104","Thornhill",494342
"35105","Thunder Bay--Rainy River",496589
"35106","Thunder Bay--Superior North",498836
"35107","Timmins--James Bay",501083
"35108","Toronto Centre",503330
"35109","Toronto--Danforth",505577
"35110","University--Rosedale",507824
"35111","Vaughan--Woodbridge",510071
"35112","Waterloo",512318
"35113","Wellington--Halton Hills",514565
"35114","Whitby",516812
"35115","Willowdale",519059
"35116","Windsor--Tecumseh",521306
"35117","Windsor West",523553
"35118","York Centre",525800
"35119","York--Simcoe",528047
"35120","York South--Weston",530294
"35121","Humber River--Black Creek",532541
"46","Manitoba",534788
"46001","Brandon--Souris",537035
"46002","Charleswood--St. James--Assiniboia--Headingley",539282
"46003","Churchill--Keewatinook Aski",541529
"46004","Dauphin--Swan River--Neepawa",543776
"46005","Elmwood--Transcona",546023
"46006","Kildonan--St. Paul",548270
"46007","Portage--Lisgar",550517
"46008","Provencher",552764
"46009","Saint Boniface--Saint Vital",555011
"46010","Selkirk--Interlake--Eastman",557258
"46011","Winnipeg Centre",559505
"46012","Winnipeg North",561752
"46013","Winnipeg South",563999
"46014","Winnipeg South Centre",566246
"47","Saskatchewan",568493
"47001","Battlefords--Lloydminster",570740
"47002","Cypress Hills--Grasslands",572987
"47003","Desnethé--Missinippi--Churchill River",575234
"47004","Carlton Trail--Eagle Creek",577481
"47005","Moose Jaw--Lake Centre--Lanigan",579728
"47006","Prince Albert",581975
"47007","Regina--Lewvan",584222
"47008","Regina--Qu'Appelle",586469
"47009","Regina--Wascana",588716
"47010","Saskatoon--Grasswood",590963
"47011","Saskatoon--University",593210
"47012","Saskatoon West",595457
"47013","Souris--Moose Mountain",597704
"47014","Yorkton--Melville",599951
"48","Alberta",602198
"48001","Banff--Airdrie",604445
"48002","Battle River--Crowfoot",606692
"48003","Bow River",608939
"48004","Calgary Centre",611186
"48005","Calgary Confederation",613433
"48006","Calgary Forest Lawn",615680
"48007","Calgary Heritage",617927
"48008","Calgary Midnapore",620174
"48009","Calgary Nose Hill",622421
"48010","Calgary Rocky Ridge",624668
"48011","Calgary Shepard",626915
"48012","Calgary Signal Hill",629162
"48013","Calgary Skyview",631409
"48014","Edmonton Centre",633656
"48015","Edmonton Griesbach",635903
"48016","Edmonton Manning",638150
"48017","Edmonton Mill Woods",640397
"48018","Edmonton Riverbend",642644
"48019","Edmonton Strathcona",644891
"48020","Edmonton West",647138
"48021","Edmonton--Wetaskiwin",649385
"48022","Foothills",651632
"48023","Fort McMurray--Cold Lake",653879
"48024","Grande Prairie--Mackenzie",656126
"48025","Lakeland",658373
"48026","Lethbridge",660620
"48027","Medicine Hat--Cardston--Warner",662867
"48028","Peace River--Westlock",665114
"48029","Red Deer--Mountain View",667361
"48030","Red Deer--Lacombe",669608
"48031","St. Albert--Edmonton",671855
"48032","Sherwood Park--Fort Saskatchewan",674102
"48033","Sturgeon River--Parkland",676349
"48034","Yellowhead",678596
"59","British Columbia",680843
"59001","Abbotsford",683090
"59002","Burnaby North--Seymour",685337
"59003","Burnaby South",687584
"59004","Cariboo--Prince George",689831
"59005","Central Okanagan--Similkameen--Nicola",692078
"59006","Chilliwack--Hope",694325
"59007","Cloverdale--Langley City",696572
"59008","Coquitlam--Port Coquitlam",698819
"59009","Courtenay--Alberni",701066
"59010","Cowichan--Malahat--Langford",703313
"59011","Delta",705560
"59012","Fleetwood--Port Kells",707807
"59013","Kamloops--Thompson--Cariboo",710054
"59014","Kelowna--Lake Country",712301
"59015","Kootenay--Columbia",714548
"59016","Langley--Aldergrove",716795
"59017","Mission--Matsqui--Fraser Canyon",719042
"59018","Nanaimo--Ladysmith",721289
"59019","New Westminster--Burnaby",723536
"59020","North Okanagan--Shuswap",725783
"59021","North Vancouver",728030
"59022","Pitt Meadows--Maple Ridge",730277
"59023","Port Moody--Coquitlam",732524
"59024","Prince George--Peace River--Northern Rockies",734771
"59025","Richmond Centre",737018
"59026","Esquimalt--Saanich--Sooke",739265
"59027","Saanich--Gulf Islands",741512
"59028","Skeena--Bulkley Valley",743759
"59029","South Okanagan--West Kootenay",746006
"59030","South Surrey--White Rock",748253
"59031","Steveston--Richmond East",750500
"59032","Surrey Centre",752747
"59033","Surrey--Newton",754994
"59034","Vancouver Centre",757241
"59035","Vancouver East",759488
"59036","Vancouver Granville",761735
"59037","North Island--Powell River",763982
"59038","Vancouver Kingsway",766229
"59039","Vancouver Quadra",768476
"59040","Vancouver South",770723
"59041","Victoria",772970
"59042","West Vancouver--Sunshine Coast--Sea to Sky Country",775217
"60","Yukon",777464
"60001","Yukon",779711
"61","Northwest Territories",781958
"61001","Northwest Territories",784205
"62","Nunavut",786452
"62001","Nunavut",788699
