"Year","GHGRP ID","NPRI ID","Company & facility name","NAICS","City","Province / territory","CO2","CH4","N2O","HFCs","PFCs","SF6","Total"
"2016","G10073","442","Imperial Oil Resources Limited - Cold Lake","211114","Grande Centre","Alberta","5426180.7431","27828.5575","30220.031","0","0","0","5484229.3316"
"2016","G10120","5352","TransAlta Generation Partnership - Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant","221112","Fort Saskatchewan","Alberta","353178.3771","635.885","2640.9356","0","0","0","356455.1977"
"2016","G10476","1439","Husky Oil Operations Limited - Rainbow Lake Gas plant","211113","Rainbow Lake","Alberta","54466.5514","2554.5175","283.5768","0","0","0","57304.6457"
"2016","G10243","407","Husky Oil Operations Limited - Ram River","211113","Rocky Mountain House","Alberta","302774.3626","3526.7875","1097.1764","0","0","0","307398.3265"
"2016","G10815","29025","Husky Oil Operations Limited - Sunrise Thermal","211114","Fort McKay","Alberta","1208625.7807","3214.005","2240.1256","0","0","0","1214079.9113"
"2016","G10394","21548","Husky Oil Operations Limited - Tucker Thermal","211114","Bonneville","Alberta","657546.7986","2197.3875","1142.2042","0","0","0","660886.3903"
"2016","G10352","6869","Waste Management of Canada Corporation - West Edmonton Landfill","562210","Edmonton","Alberta","557.3568","142117.26","70.179","0","0","0","142744.7958"
"2016","G10111","6826","Graymont Western Canada Inc. - Exshaw Plant","327410","Exshaw","Alberta","124385.84","227.625","215.752","0","0","0","124829.217"
"2016","G10619","24100","MEG Energy Corp. - MEG Christina Lake Cogeneration Facility","211114","Regional Municipality of Wood Buffalo","Alberta","1147282.2076","521.0925","5539.9094","0","0","0","1153343.2095"
"2016","G10496","22346","MEG Energy Corp. - MEG Christina Lake Regional Project","211114","Regional Municipality of Wood Buffalo","Alberta","865416.237","13614.795","4199.9822","0","0","0","883231.0142"
"2016","G10555","2227","Keyera Corp - Simonette Gas Plant","211113","Simonette","Alberta","36657.6821","3714.3375","891.7948","0","0","0","41263.8144"
"2016","G10484","1364","Keyera Corp - Gilby Gas Plant","211113","Rimbey","Alberta","60038.552","2508.325","1443.959","0","0","0","63990.836"
