2011 Census Profile - Data quality flags and descriptions - Forward Sortation Areas (FSA)
"Geo_Code","Geo_Name","DQ_Flag (5-digit code)*"
"G0N","G0N","01000"
"G0P","G0P","01000"
"G0R","G0R","00000"
"G0S","G0S","00000"
"G0T","G0T","01000"
"G0V","G0V","00000"
"G0W","G0W","01000"
"G0X","G0X","00000"
"G0Y","G0Y","01000"
"G0Z","G0Z","00000"
"G1A","G1A","03000"
"G1B","G1B","00000"
"G1C","G1C","00000"
"G1E","G1E","00000"
"G1G","G1G","00000"
"G1H","G1H","01000"
"G1J","G1J","01000"
"G1K","G1K","01000"
"G1L","G1L","01000"
"G1M","G1M","01000"
"G1N","G1N","01000"
"G1P","G1P","00000"
"G1R","G1R","01000"
"G1S","G1S","01000"
"G1T","G1T","01000"
"G1V","G1V","01000"
"G1W","G1W","00000"
"G1X","G1X","00000"
"G1Y","G1Y","00000"
"G2A","G2A","00000"
"G2B","G2B","00000"
"G2C","G2C","00000"
"G2E","G2E","00000"
"G2G","G2G","00000"
"G2J","G2J","02000"
"G2K","G2K","00000"
"G2L","G2L","00000"
"G2M","G2M","00000"
"G2N","G2N","00000"
"G3A","G3A","00000"
"G3B","G3B","00000"
"G3C","G3C","00000"
"G3E","G3E","00000"
"G3G","G3G","00000"
"G3H","G3H","00000"
"G3J","G3J","00000"
"G3K","G3K","00000"
"G3L","G3L","01000"
"G3M","G3M","00000"
"G3N","G3N","00000"
"G3Z","G3Z","00000"
"G4A","G4A","00000"
"G4R","G4R","01000"
"G4S","G4S","00000"
"G4T","G4T","00000"
"G4V","G4V","01000"
"G4W","G4W","00000"
"G4X","G4X","00000"
"G4Z","G4Z","00000"
"G5A","G5A","00000"
"G5B","G5B","00000"
"G5C","G5C","00000"
"G5H","G5H","01000"
"G5J","G5J","01000"
"G5L","G5L","00000"
"G5M","G5M","00000"
"G5N","G5N","00000"
"G5R","G5R","00000"
"G5T","G5T","00000"
"G5V","G5V","00000"
"G5X","G5X","01000"
"G5Y","G5Y","00000"
"G5Z","G5Z","00000"
"G6A","G6A","00000"
"G6B","G6B","00000"
"G6C","G6C","00000"
"G6E","G6E","00000"
"G6G","G6G","00000"
"G6H","G6H","00000"
"G6J","G6J","00000"
"G6K","G6K","00000"
"G6L","G6L","00000"
"G6P","G6P","00000"
"G6R","G6R","00000"
"G6S","G6S","00000"
"G6T","G6T","00000"
"G6V","G6V","00000"
"G6W","G6W","00000"
"G6X","G6X","00000"
"G6Z","G6Z","00000"
"G7A","G7A","00000"
"G7B","G7B","00000"
"G7G","G7G","00000"
"G7H","G7H","00000"
"G7J","G7J","00000"
"G7K","G7K","00000"
"G7N","G7N","00000"
"G7P","G7P","00000"
"G7S","G7S","00000"
"G7T","G7T","00000"
"G7X","G7X","00000"
"G7Y","G7Y","00000"
"G7Z","G7Z","00000"
"G8A","G8A","00000"
"G8B","G8B","00000"
"G8C","G8C","00000"
"G8E","G8E","00000"
"G8G","G8G","00000"
"G8H","G8H","00000"
"G8J","G8J","00000"
"G8K","G8K","00000"
"G8L","G8L","00000"
"G8M","G8M","00000"
"G8N","G8N","00000"
"G8P","G8P","00000"
"G8T","G8T","00000"
"G8V","G8V","00000"
"G8W","G8W","00000"
"G8Y","G8Y","00000"
"G8Z","G8Z","01000"
"G9A","G9A","01000"
"G9B","G9B","00000"
"G9C","G9C","00000"
"G9H","G9H","00000"
"G9N","G9N","01000"
"G9P","G9P","00000"
"G9R","G9R","00000"
"G9T","G9T","00000"
"G9X","G9X","00000"
"H1A","H1A","00000"
"H1B","H1B","00000"
"H1C","H1C","00000"
"H1E","H1E","00000"
"H1G","H1G","00000"
"H1H","H1H","01000"
"H1J","H1J","00000"
"H1K","H1K","00000"
"H1L","H1L","00000"
"H1M","H1M","00000"
"H1N","H1N","01000"
"H1P","H1P","00000"
"H1R","H1R","00000"
"H1S","H1S","00000"
"H1T","H1T","01000"
"H1V","H1V","01000"
"H1W","H1W","01000"
"H1X","H1X","00000"
"H1Y","H1Y","00000"
"H1Z","H1Z","00000"
"H2A","H2A","00000"
"H2B","H2B","00000"
"H2C","H2C","01000"
"H2E","H2E","00000"
"H2G","H2G","00000"
"H2H","H2H","00000"
"H2J","H2J","00000"
"H2K","H2K","01000"
"H2L","H2L","01000"
"H2M","H2M","00000"
"H2N","H2N","00000"
"H2P","H2P","00000"
"H2R","H2R","00000"
"H2S","H2S","00000"
"H2T","H2T","00000"
"H2V","H2V","00000"
"H2W","H2W","00000"
"H2X","H2X","01000"
"H2Y","H2Y","00000"
"H2Z","H2Z","01000"
"H3A","H3A","00000"
"H3B","H3B","01000"
"H3C","H3C","00000"
"H3E","H3E","00000"
"H3G","H3G","00000"
"H3H","H3H","00000"
"H3J","H3J","00000"
"H3K","H3K","00000"
"H3L","H3L","00000"
"H3M","H3M","00000"
"H3N","H3N","01000"
"H3P","H3P","00000"
"H3R","H3R","00000"
"H3S","H3S","00000"
"H3T","H3T","00000"
"H3V","H3V","00000"
"H3W","H3W","00000"
"H3X","H3X","00000"
"H3Y","H3Y","00000"
"H3Z","H3Z","01000"
"H4A","H4A","00000"
"H4B","H4B","00000"
"H4C","H4C","00000"
"H4E","H4E","00000"
"H4G","H4G","00000"
"H4H","H4H","00000"
"H4J","H4J","00000"
"H4K","H4K","00000"
"H4L","H4L","00000"
"H4M","H4M","00000"
"H4N","H4N","00000"
"H4P","H4P","00000"
"H4R","H4R","00000"
"H4S","H4S","00000"
"H4T","H4T","00000"
"H4V","H4V","00000"
"H4W","H4W","00000"
"H4X","H4X","00000"
"H4Y","H4Y","02000"
"H4Z","H4Z","00000"
"H5A","H5A","00000"
"H5B","H5B","02000"
"H7A","H7A","00000"
"H7B","H7B","01000"
"H7C","H7C","01000"
"H7E","H7E","00000"
"H7G","H7G","00000"
"H7H","H7H","00000"
"H7J","H7J","01000"
"H7K","H7K","00000"
"H7L","H7L","00000"
"H7M","H7M","00000"
"H7N","H7N","00000"
"H7P","H7P","00000"
"H7R","H7R","00000"
"H7S","H7S","00000"
"H7T","H7T","00000"
"H7V","H7V","00000"
"H7W","H7W","00000"
"H7X","H7X","00000"
"H7Y","H7Y","00000"
"H8N","H8N","00000"
"H8P","H8P","00000"
"H8R","H8R","00000"
"H8S","H8S","00000"
"H8T","H8T","00000"
"H8Y","H8Y","00000"
"H8Z","H8Z","00000"
"H9A","H9A","00000"
"H9B","H9B","00000"
"H9C","H9C","00000"
"H9E","H9E","00000"
"H9G","H9G","00000"
"H9H","H9H","00000"
"H9J","H9J","00000"
"H9K","H9K","00000"
"H9P","H9P","00000"
"H9R","H9R","00000"
"H9S","H9S","00000"
"H9W","H9W","00000"
"H9X","H9X","00000"
"J0A","J0A","00000"
"J0B","J0B","00000"
"J0C","J0C","00000"
"J0E","J0E","00000"
"J0G","J0G","00000"
"J0H","J0H","00000"
"J0J","J0J","00000"
"J0K","J0K","00000"
"J0L","J0L","00000"
"J0M","J0M","01000"
"J0N","J0N","00000"
"J0P","J0P","00000"
"J0R","J0R","00000"
"J0S","J0S","01000"
"J0T","J0T","01000"
"J0V","J0V","01000"
"J0W","J0W","01000"
"J0X","J0X","01000"
"J0Y","J0Y","01000"
"J0Z","J0Z","01000"
"J1A","J1A","00000"
"J1C","J1C","00000"
"J1E","J1E","00000"
"J1G","J1G","00000"
"J1H","J1H","01000"
"J1J","J1J","00000"
"J1K","J1K","00000"
"J1L","J1L","00000"
"J1M","J1M","00000"
"J1N","J1N","00000"
"J1R","J1R","00000"
"J1S","J1S","00000"
"J1T","J1T","01000"
"J1X","J1X","00000"
"J1Z","J1Z","00000"
"J2A","J2A","00000"
"J2B","J2B","00000"
"J2C","J2C","00000"
"J2E","J2E","00000"
"J2G","J2G","00000"
"J2H","J2H","00000"
"J2J","J2J","00000"
"J2K","J2K","00000"
"J2L","J2L","00000"
"J2M","J2M","00000"
"J2N","J2N","00000"
"J2R","J2R","00000"
"J2S","J2S","00000"
"J2T","J2T","00000"
"J2W","J2W","00000"
"J2X","J2X","00000"
"J2Y","J2Y","00000"
"J3A","J3A","01000"
"J3B","J3B","00000"
"J3E","J3E","00000"
"J3G","J3G","00000"
"J3H","J3H","00000"
"J3L","J3L","00000"
"J3M","J3M","00000"
"J3N","J3N","00000"
"J3P","J3P","00000"
"J3R","J3R","00000"
"J3T","J3T","00000"
"J3V","J3V","00000"
"J3X","J3X","00000"
"J3Y","J3Y","00000"
"J3Z","J3Z","00000"
"J4B","J4B","00000"
"J4G","J4G","00000"
"J4H","J4H","00000"
"J4J","J4J","00000"
"J4K","J4K","00000"
"J4L","J4L","00000"
"J4M","J4M","00000"
"J4N","J4N","00000"
"J4P","J4P","01000"
"J4R","J4R","00000"
"J4S","J4S","00000"
"J4T","J4T","00000"
"J4V","J4V","00000"
"J4W","J4W","00000"
"J4X","J4X","00000"
"J4Y","J4Y","00000"
"J4Z","J4Z","00000"
"J5A","J5A","00000"
"J5B","J5B","00000"
"J5C","J5C","00000"
"J5J","J5J","00000"
"J5K","J5K","00000"
"J5L","J5L","00000"
"J5M","J5M","00000"
"J5R","J5R","00000"
"J5T","J5T","00000"
"J5V","J5V","01000"
"J5W","J5W","00000"
"J5X","J5X","00000"
"J5Y","J5Y","00000"
"J5Z","J5Z","00000"
"J6A","J6A","00000"
"J6E","J6E","00000"
"J6J","J6J","00000"
"J6K","J6K","00000"
"J6N","J6N","00000"
"J6R","J6R","00000"
"J6S","J6S","00000"
"J6T","J6T","01000"
"J6V","J6V","00000"
"J6W","J6W","00000"
"J6X","J6X","00000"
"J6Y","J6Y","00000"
"J6Z","J6Z","00000"
"J7A","J7A","00000"
"J7B","J7B","00000"
"J7C","J7C","00000"
"J7E","J7E","00000"
"J7G","J7G","00000"
"J7H","J7H","00000"
"J7J","J7J","00000"
"J7K","J7K","00000"
"J7L","J7L","00000"
"J7M","J7M","00000"
"J7N","J7N","00000"
"J7P","J7P","00000"
"J7R","J7R","00000"
"J7T","J7T","00000"
"J7V","J7V","00000"
"J7W","J7W","00000"
"J7X","J7X","00000"
"J7Y","J7Y","00000"
"J7Z","J7Z","00000"
"J8A","J8A","00000"
"J8B","J8B","00000"
"J8C","J8C","01000"
"J8E","J8E","01000"
"J8G","J8G","00000"
"J8H","J8H","00000"
"J8L","J8L","00000"
"J8M","J8M","00000"
"J8N","J8N","00000"
"J8P","J8P","00000"
"J8R","J8R","00000"
"J8T","J8T","00000"
"J8V","J8V","00000"
"J8X","J8X","01000"
"J8Y","J8Y","00000"
"J8Z","J8Z","00000"
"J9A","J9A","00000"
"J9B","J9B","00000"
"J9E","J9E","02000"
"J9H","J9H","00000"
"J9J","J9J","00000"
"J9L","J9L","00000"
"J9P","J9P","00000"
"J9T","J9T","00000"
"J9V","J9V","01000"
"J9X","J9X","00000"
"J9Y","J9Y","00000"
"J9Z","J9Z","01000"
"K0A","K0A","00000"
"K0B","K0B","00000"
"K0C","K0C","00000"
"K0E","K0E","00000"
"K0G","K0G","00000"
"K0H","K0H","00000"
"K0J","K0J","00000"
"K0K","K0K","00000"
"K0L","K0L","00000"
"K0M","K0M","01000"
"K1A","K1A","00000"
"K1B","K1B","00000"
"K1C","K1C","00000"
"K1E","K1E","00000"
"K1G","K1G","00000"
"K1H","K1H","00000"
"K1J","K1J","00000"
"K1K","K1K","00000"
"K1L","K1L","01000"
"K1M","K1M","00000"
"K1N","K1N","01000"
"K1P","K1P","01000"
"K1R","K1R","01000"
"K1S","K1S","00000"
"K1T","K1T","00000"
"K1V","K1V","00000"
"K1W","K1W","00000"
"K1X","K1X","00000"
"K1Y","K1Y","00000"
"K1Z","K1Z","00000"
"K2A","K2A","00000"
"K2B","K2B","00000"
"K2C","K2C","00000"
"K2E","K2E","00000"
"K2G","K2G","00000"
"K2H","K2H","00000"
"K2J","K2J","00000"
"K2K","K2K","00000"
"K2L","K2L","00000"
"K2M","K2M","00000"
"K2P","K2P","01000"
"K2R","K2R","00000"
"K2S","K2S","00000"
"K2T","K2T","00000"
"K2V","K2V","00000"
"K2W","K2W","00000"
"K4A","K4A","00000"
"K4B","K4B","00000"
"K4C","K4C","00000"
"K4K","K4K","00000"
"K4M","K4M","00000"
"K4P","K4P","00000"
"K4R","K4R","00000"
"K6A","K6A","00000"
"K6H","K6H","00000"
"K6J","K6J","00000"
"K6K","K6K","00000"
"K6T","K6T","00000"
"K6V","K6V","00000"
"K7A","K7A","00000"
"K7C","K7C","00000"
"K7G","K7G","00000"
"K7H","K7H","00000"
"K7K","K7K","00000"
"K7L","K7L","01000"
"K7M","K7M","00000"
"K7N","K7N","00000"
"K7P","K7P","00000"
"K7R","K7R","00000"
"K7S","K7S","00000"
"K7V","K7V","00000"
"K8A","K8A","00000"
"K8B","K8B","00000"
"K8H","K8H","00000"
"K8N","K8N","00000"
"K8P","K8P","00000"
"K8R","K8R","00000"
"K8V","K8V","00000"
"K9A","K9A","00000"
"K9H","K9H","00000"
"K9J","K9J","00000"
"K9K","K9K","00000"
"K9L","K9L","00000"
"K9V","K9V","00000"
"L0A","L0A","00000"
"L0B","L0B","00000"
"L0C","L0C","00000"
"L0E","L0E","00000"
"L0G","L0G","00000"
"L0H","L0H","00000"
"L0J","L0J","00000"
"L0K","L0K","01000"
"L0L","L0L","00000"
"L0M","L0M","00000"
"L0N","L0N","00000"
"L0P","L0P","00000"
"L0R","L0R","00000"
"L0S","L0S","00000"
"L0V","L0V","00000"
"L1A","L1A","00000"
"L1B","L1B","00000"
"L1C","L1C","00000"
"L1E","L1E","00000"
"L1G","L1G","00000"
"L1H","L1H","00000"
"L1J","L1J","00000"
"L1K","L1K","00000"
"L1L","L1L","00000"
"L1M","L1M","00000"
"L1N","L1N","00000"
"L1P","L1P","00000"
"L1R","L1R","00000"
"L1S","L1S","00000"
"L1T","L1T","00000"
"L1V","L1V","00000"
"L1W","L1W","00000"
"L1X","L1X","00000"
"L1Y","L1Y","00000"
"L1Z","L1Z","00000"
"L2A","L2A","00000"
"L2E","L2E","00000"
"L2G","L2G","00000"
"L2H","L2H","00000"
"L2J","L2J","00000"
"L2M","L2M","00000"
"L2N","L2N","00000"
"L2P","L2P","00000"
"L2R","L2R","01000"
"L2S","L2S","00000"
